,Term,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster
2486,negative regulation of peptidase activity (GO:0010466),0.207840001,0.908054389,0,0,2.360299758,3.707999576,CSTB;TIMP2,1
2487,establishment of protein localization to organelle (GO:0072594),0.207840001,0.90727761,0,0,2.360299758,3.707999576,MMP12;PTTG1IP,1
2488,protein localization to cell periphery (GO:1990778),0.212257398,0.925768807,0,0,1.89024006,2.929788162,CAV1;MYO5A;ATP1B3,1
2489,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway (GO:0007193),0.212768435,0.927205228,0,0,2.323420074,3.595610748,RGS1;PSAP,1
2490,regulation of proteolysis (GO:0030162),0.212768435,0.926414097,0,0,2.323420074,3.595610748,CSTB;CAV1,1
2491,negative regulation of neuron apoptotic process (GO:0043524),0.212768435,0.925624315,0,0,2.323420074,3.595610748,WFS1;ADAM8,1
2492,signal transduction involved in mitotic G1 DNA damage checkpoint (GO:0072431),0.212768435,0.924835879,0,0,2.323420074,3.595610748,RGCC;PLK2,1
2493,regulation of multicellular organism growth (GO:0040014),0.216392222,0.939786818,0,0,4.130524577,6.32243979,IGF1,1
2494,long-chain fatty-acyl-CoA biosynthetic process (GO:0035338),0.216392222,0.93898768,0,0,4.130524577,6.32243979,ACSL4,1
2495,establishment of melanosome localization (GO:0032401),0.216392222,0.938189899,0,0,4.130524577,6.32243979,MYO5A,1
2496,membrane protein ectodomain proteolysis (GO:0006509),0.216392222,0.937393473,0,0,4.130524577,6.32243979,MYH9,1
2497,regulation of spindle organization (GO:0090224),0.216392222,0.936598398,0,0,4.130524577,6.32243979,CLTC,1
2498,response to nutrient levels (GO:0031667),0.216392222,0.935804671,0,0,4.130524577,6.32243979,IGF1,1
2499,regulation of keratinocyte proliferation (GO:0010837),0.216392222,0.935012287,0,0,4.130524577,6.32243979,KLF9,1
2500,endoplasmic reticulum calcium ion homeostasis (GO:0032469),0.216392222,0.934221245,0,0,4.130524577,6.32243979,WFS1,1
2501,negative regulation of fibroblast proliferation (GO:0048147),0.216392222,0.93343154,0,0,4.130524577,6.32243979,FTH1,1
2502,establishment or maintenance of apical/basal cell polarity (GO:0035088),0.216392222,0.932643168,0,0,4.130524577,6.32243979,CLIC4,1
2503,regulation of dephosphorylation (GO:0035303),0.216392222,0.931856128,0,0,4.130524577,6.32243979,PPP1R14B,1
2504,negative regulation of protein dephosphorylation (GO:0035308),0.216392222,0.931070414,0,0,4.130524577,6.32243979,FKBP1A,1
2505,"retrograde protein transport, ER to cytosol (GO:0030970)",0.216392222,0.930286025,0,0,4.130524577,6.32243979,HSP90B1,1
2506,regulation of cholesterol efflux (GO:0010874),0.216392222,0.929502956,0,0,4.130524577,6.32243979,ABCA1,1
2507,regulation of cardiac muscle cell membrane repolarization (GO:0099623),0.216392222,0.928721204,0,0,4.130524577,6.32243979,CACNA1D,1
2508,negative regulation of peptidyl-serine phosphorylation (GO:0033137),0.216392222,0.927940766,0,0,4.130524577,6.32243979,CAV1,1
2509,heart trabecula morphogenesis (GO:0061384),0.216392222,0.927161638,0,0,4.130524577,6.32243979,FKBP1A,1
2510,dolichol-linked oligosaccharide biosynthetic process (GO:0006488),0.216392222,0.926383818,0,0,4.130524577,6.32243979,NUS1,1
2511,acute-phase response (GO:0006953),0.216392222,0.925607302,0,0,4.130524577,6.32243979,IL1RN,1
2512,regulation of epithelial cell differentiation (GO:0030856),0.216392222,0.924832086,0,0,4.130524577,6.32243979,CAV1,1
2513,DNA methylation (GO:0006306),0.216392222,0.924058168,0,0,4.130524577,6.32243979,DNMT3A,1
2514,positive regulation of carbohydrate metabolic process (GO:0045913),0.216392222,0.923285545,0,0,4.130524577,6.32243979,IGF1,1
2515,glyceraldehyde-3-phosphate metabolic process (GO:0019682),0.216392222,0.922514212,0,0,4.130524577,6.32243979,PGD,1
2516,cell-substrate adherens junction assembly (GO:0007045),0.216392222,0.921744166,0,0,4.130524577,6.32243979,ACTN1,1
2517,response to organophosphorus (GO:0046683),0.216392222,0.920975406,0,0,4.130524577,6.32243979,P2RX4,1
2518,focal adhesion assembly (GO:0048041),0.216392222,0.920207926,0,0,4.130524577,6.32243979,ACTN1,1
2519,positive regulation of protein polymerization (GO:0032273),0.217708044,0.925032595,0,0,2.28767515,3.487790364,BAIAP2;MET,1
2520,inorganic anion transmembrane transport (GO:0098661),0.217708044,0.924263017,0,0,2.28767515,3.487790364,CLIC4;SLC37A2,1
2521,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),0.217708044,0.923494719,0,0,2.28767515,3.487790364,CD84;CD200,1
2522,NADH dehydrogenase complex assembly (GO:0010257),0.217708044,0.922727697,0,0,2.28767515,3.487790364,MT-ND5;MT-ND3,1
2523,mitochondrial respiratory chain complex I biogenesis (GO:0097031),0.217708044,0.921961948,0,0,2.28767515,3.487790364,MT-ND5;MT-ND3,1
2524,mitochondrial respiratory chain complex I assembly (GO:0032981),0.217708044,0.921197468,0,0,2.28767515,3.487790364,MT-ND5;MT-ND3,1
2525,positive regulation of cell adhesion (GO:0045785),0.217708044,0.920434256,0,0,2.28767515,3.487790364,SIRPA;ADAM8,1
2526,regulation of phosphorylation (GO:0042325),0.219265645,0.926252141,0,0,1.858736059,2.820578612,NRP1;FN1;INHBA,1
2527,cellular response to lipid (GO:0071396),0.221433617,0.934636683,0,0,1.661440053,2.504840905,CD274;SPP1;ATP1A1;TNFRSF1B,1
2528,negative regulation of protein phosphorylation (GO:0001933),0.221433617,0.933864256,0,0,1.661440053,2.504840905,SOCS2;DUSP3;CAV1;YWHAG,1
2529,regulation of myeloid cell differentiation (GO:0045637),0.222657642,0.938250987,0,0,2.253013405,3.384296331,LGALS3;PRKCB,1
2530,regulation of JAK-STAT cascade (GO:0046425),0.222657642,0.937476853,0,0,2.253013405,3.384296331,SOCS2;CAV1,1
2531,regulation of acute inflammatory response (GO:0002673),0.226320821,0.952114716,0,0,1.828264977,2.716439254,CD81;ADAM8;C1QC,1
2532,regulation of sprouting angiogenesis (GO:1903670),0.226941226,0.953938284,0,0,3.913128546,5.803420901,S100A1,1
2533,NADP metabolic process (GO:0006739),0.226941226,0.953153149,0,0,3.913128546,5.803420901,PGD,1
2534,regulation of long-term synaptic potentiation (GO:1900271),0.226941226,0.952369306,0,0,3.913128546,5.803420901,SQSTM1,1
2535,positive regulation of STAT cascade (GO:1904894),0.226941226,0.951586751,0,0,3.913128546,5.803420901,IL7R,1
2536,protein exit from endoplasmic reticulum (GO:0032527),0.226941226,0.950805482,0,0,3.913128546,5.803420901,HSP90B1,1
2537,positive regulation of activated T cell proliferation (GO:0042104),0.226941226,0.950025493,0,0,3.913128546,5.803420901,IGF1,1
2538,sulfur compound transport (GO:0072348),0.226941226,0.949246784,0,0,3.913128546,5.803420901,SLC6A6,1
2539,endothelial cell development (GO:0001885),0.226941226,0.94846935,0,0,3.913128546,5.803420901,MET,1
2540,acylglycerol biosynthetic process (GO:0046463),0.226941226,0.947693189,0,0,3.913128546,5.803420901,LPL,1
2541,regulation of myotube differentiation (GO:0010830),0.226941226,0.946918296,0,0,3.913128546,5.803420901,BHLHE41,1
2542,cellular response to zinc ion (GO:0071294),0.226941226,0.94614467,0,0,3.913128546,5.803420901,HVCN1,1
2543,positive regulation of toll-like receptor signaling pathway (GO:0034123),0.226941226,0.945372307,0,0,3.913128546,5.803420901,CAV1,1
2544,osteoclast differentiation (GO:0030316),0.226941226,0.944601204,0,0,3.913128546,5.803420901,DCSTAMP,1
2545,macromolecule biosynthetic process (GO:0009059),0.226941226,0.943831358,0,0,3.913128546,5.803420901,SLC11A1,1
2546,positive regulation of adherens junction organization (GO:1903393),0.226941226,0.943062766,0,0,3.913128546,5.803420901,NRP1,1
2547,innate immune response in mucosa (GO:0002227),0.226941226,0.942295424,0,0,3.913128546,5.803420901,HIST1H2BC,1
2548,triglyceride biosynthetic process (GO:0019432),0.226941226,0.94152933,0,0,3.913128546,5.803420901,LPL,1
2549,activin receptor signaling pathway (GO:0032924),0.226941226,0.940764481,0,0,3.913128546,5.803420901,INHBA,1
2550,positive regulation of neuron apoptotic process (GO:0043525),0.226941226,0.940000874,0,0,3.913128546,5.803420901,CTNNB1,1
2551,positive regulation of axon extension (GO:0045773),0.226941226,0.939238505,0,0,3.913128546,5.803420901,NRP1,1
2552,intracellular steroid hormone receptor signaling pathway (GO:0030518),0.227616072,0.941268082,0,0,2.21938634,3.284902549,NCOA4;CTNNB1,1
2553,positive regulation of synaptic transmission (GO:0050806),0.232582205,0.961025906,0,0,2.186748305,3.18939765,PLK2;SQSTM1,1
2554,extrinsic apoptotic signaling pathway (GO:0097191),0.232582205,0.960248377,0,0,2.186748305,3.18939765,SORT1;INHBA,1
2555,positive regulation of autophagy (GO:0010508),0.232582205,0.959472105,0,0,2.186748305,3.18939765,BNIP3L;PLK2,1
2556,cellular calcium ion homeostasis (GO:0006874),0.233419276,0.962147469,0,0,1.798776832,2.617074543,WFS1;CAV1;TMEM165,1
2557,phosphate-containing compound metabolic process (GO:0006796),0.235752725,0.970981561,0,0,1.616292226,2.335496687,DUSP3;GDE1;LPL;FAM20C,1
2558,positive regulation of interleukin-2 production (GO:0032743),0.237348739,0.976766624,0,0,3.717472119,5.346560402,ANXA1,1
2559,Golgi to endosome transport (GO:0006895),0.237348739,0.975979544,0,0,3.717472119,5.346560402,SORT1,1
2560,hydrogen peroxide metabolic process (GO:0042743),0.237348739,0.975193731,0,0,3.717472119,5.346560402,PRDX1,1
2561,proteoglycan metabolic process (GO:0006029),0.237348739,0.974409182,0,0,3.717472119,5.346560402,IGF1,1
2562,negative regulation of phosphate metabolic process (GO:0045936),0.237348739,0.973625895,0,0,3.717472119,5.346560402,INHBA,1
2563,negative regulation of macromolecule biosynthetic process (GO:0010558),0.237348739,0.972843866,0,0,3.717472119,5.346560402,CLTC,1
2564,negative regulation of actin filament bundle assembly (GO:0032232),0.237348739,0.972063093,0,0,3.717472119,5.346560402,MET,1
2565,response to progesterone (GO:0032570),0.237348739,0.971283571,0,0,3.717472119,5.346560402,CAV1,1
2566,regulation of cholesterol transport (GO:0032374),0.237348739,0.970505299,0,0,3.717472119,5.346560402,NUS1,1
2567,phosphatidylethanolamine metabolic process (GO:0046337),0.237348739,0.969728273,0,0,3.717472119,5.346560402,SLC27A1,1
2568,androgen metabolic process (GO:0008209),0.237348739,0.968952491,0,0,3.717472119,5.346560402,SPP1,1
2569,regulation of anoikis (GO:2000209),0.237348739,0.968177948,0,0,3.717472119,5.346560402,CAV1,1
2570,regulation of cell development (GO:0060284),0.237348739,0.967404643,0,0,3.717472119,5.346560402,CTNNB1,1
2571,growth hormone receptor signaling pathway (GO:0060396),0.237348739,0.966632573,0,0,3.717472119,5.346560402,SOCS2,1
2572,regulation of glycogen biosynthetic process (GO:0005979),0.237348739,0.965861733,0,0,3.717472119,5.346560402,IGF1,1
2573,regulation of toll-like receptor signaling pathway (GO:0034121),0.237348739,0.965092122,0,0,3.717472119,5.346560402,CD36,1
2574,melanosome localization (GO:0032400),0.237348739,0.964323737,0,0,3.717472119,5.346560402,MYO5A,1
2575,heparan sulfate proteoglycan metabolic process (GO:0030201),0.237348739,0.963556574,0,0,3.717472119,5.346560402,GPC1,1
2576,regulation of fibroblast growth factor receptor signaling pathway (GO:0040036),0.237348739,0.962790631,0,0,3.717472119,5.346560402,GPC1,1
2577,negative regulation of plasma membrane bounded cell projection assembly (GO:0120033),0.237348739,0.962025904,0,0,3.717472119,5.346560402,EVL,1
2578,chondroitin sulfate biosynthetic process (GO:0030206),0.237348739,0.961262392,0,0,3.717472119,5.346560402,CHST11,1
2579,cellular response to steroid hormone stimulus (GO:0071383),0.237348739,0.96050009,0,0,3.717472119,5.346560402,ATP1A1,1
2580,dopaminergic neuron differentiation (GO:0071542),0.237348739,0.959738996,0,0,3.717472119,5.346560402,CTNNB1,1
2581,regulation of transport (GO:0051049),0.237348739,0.958979108,0,0,3.717472119,5.346560402,NRP1,1
2582,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),0.237554944,0.959052909,0,0,2.155056301,3.097583839,TNFRSF1B;CD44,1
2583,regulation of actin filament polymerization (GO:0030833),0.237554944,0.958294765,0,0,2.155056301,3.097583839,MTPN;BAIAP2,1
2584,"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)",0.240557418,0.969640207,0,0,1.770224819,2.522210082,ANXA1;NPY;CACNA1D,1
2585,regulation of innate immune response (GO:0045088),0.242533215,0.976832672,0,0,2.124269782,3.009275857,ADAM8;CD36,1
2586,cytoskeleton-dependent cytokinesis (GO:0061640),0.247515975,0.996115159,0,0,2.09435049,2.924300022,RHOC;RHOB,1
2587,phospholipid metabolic process (GO:0006644),0.247515975,0.995330198,0,0,2.09435049,2.924300022,GDE1;LPL,1
2588,neuropeptide signaling pathway (GO:0007218),0.247515975,0.994546473,0,0,2.09435049,2.924300022,SORT1;NPY,1
2589,calcium-mediated signaling (GO:0019722),0.247515975,0.993763982,0,0,2.09435049,2.924300022,LAT2;SPHK1,1
2590,mesoderm development (GO:0007498),0.247616651,0.993386612,0,0,3.540449637,4.942019792,MATK,1
2591,ventricular cardiac muscle tissue development (GO:0003229),0.247616651,0.992606261,0,0,3.540449637,4.942019792,FKBP1A,1
2592,phospholipid translocation (GO:0045332),0.247616651,0.991827136,0,0,3.540449637,4.942019792,ABCA1,1
2593,zinc II ion transport (GO:0006829),0.247616651,0.991049232,0,0,3.540449637,4.942019792,SLC39A1,1
2594,negative regulation of cytokine biosynthetic process (GO:0042036),0.247616651,0.990272548,0,0,3.540449637,4.942019792,INHBA,1
2595,negative regulation of G-protein coupled receptor protein signaling pathway (GO:0045744),0.247616651,0.98949708,0,0,3.540449637,4.942019792,MET,1
2596,vesicle docking (GO:0048278),0.247616651,0.988722825,0,0,3.540449637,4.942019792,CAV2,1
2597,negative regulation of protein tyrosine kinase activity (GO:0061099),0.247616651,0.987949782,0,0,3.540449637,4.942019792,CAV1,1
2598,regulation of nuclear division (GO:0051783),0.247616651,0.987177946,0,0,3.540449637,4.942019792,CAV2,1
2599,regulation of interleukin-2 production (GO:0032663),0.247616651,0.986407315,0,0,3.540449637,4.942019792,ANXA1,1
2600,response to nicotine (GO:0035094),0.247616651,0.985637887,0,0,3.540449637,4.942019792,HMOX1,1
2601,long-term synaptic potentiation (GO:0060291),0.247616651,0.984869658,0,0,3.540449637,4.942019792,PLK2,1
2602,positive regulation of receptor internalization (GO:0002092),0.247616651,0.984102625,0,0,3.540449637,4.942019792,CD63,1
2603,ERK1 and ERK2 cascade (GO:0070371),0.247616651,0.983336786,0,0,3.540449637,4.942019792,IGF1,1
2604,hepaticobiliary system development (GO:0061008),0.247616651,0.982572139,0,0,3.540449637,4.942019792,MET,1
2605,protein lipidation (GO:0006497),0.247731713,0.982264905,0,0,1.742565056,2.431590821,BST1;ZDHHC18;PGAP2,1
2606,non-canonical Wnt signaling pathway (GO:0035567),0.247731713,0.981502277,0,0,1.742565056,2.431590821,TCF7L2;CLTC;CTNNB1,1
2607,regulation of protein processing (GO:0070613),0.251331332,0.994991303,0,0,1.7290568,2.387798325,CD81;ADAM8;C1QC,1
2608,phosphatidylcholine metabolic process (GO:0046470),0.252502207,0.998851755,0,0,2.065262288,2.842493368,SLC27A1;SLC44A1,1
2609,nuclear import (GO:0051170),0.252502207,0.998078051,0,0,2.065262288,2.842493368,MMP12;PTTG1IP,1
2610,regulation of cation channel activity (GO:2001257),0.252502207,0.997305545,0,0,2.065262288,2.842493368,FKBP1A;CTSS,1
2611,regulation of neuron death (GO:1901214),0.25749092,1,0,0,2.036971024,2.763702847,GPNMB;CTSZ,1
2612,negative regulation of cysteine-type endopeptidase activity (GO:2000117),0.25749092,1,0,0,2.036971024,2.763702847,TNFRSF1B;CD44,1
2613,response to metal ion (GO:0010038),0.25749092,1,0,0,2.036971024,2.763702847,HVCN1;CAV1,1
2614,negative regulation of cell cycle (GO:0045786),0.25749092,1,0,0,2.036971024,2.763702847,INHBA;RHOB,1
2615,positive regulation of protein autophosphorylation (GO:0031954),0.257746829,1,0,0,3.379520108,4.581877184,GPNMB,1
2616,acylglycerol homeostasis (GO:0055090),0.257746829,1,0,0,3.379520108,4.581877184,LPL,1
2617,peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231),0.257746829,1,0,0,3.379520108,4.581877184,ZDHHC18,1
2618,peptidyl-L-cysteine S-palmitoylation (GO:0018230),0.257746829,1,0,0,3.379520108,4.581877184,ZDHHC18,1
2619,positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052),0.257746829,1,0,0,3.379520108,4.581877184,ATPIF1,1
2620,lipid translocation (GO:0034204),0.257746829,1,0,0,3.379520108,4.581877184,ABCA1,1
2621,outflow tract septum morphogenesis (GO:0003148),0.257746829,1,0,0,3.379520108,4.581877184,NRP1,1
2622,hematopoietic progenitor cell differentiation (GO:0002244),0.257746829,1,0,0,3.379520108,4.581877184,INHBA,1
2623,negative regulation of cell cycle G1/S phase transition (GO:1902807),0.257746829,1,0,0,3.379520108,4.581877184,GPNMB,1
2624,sulfur amino acid metabolic process (GO:0000096),0.257746829,1,0,0,3.379520108,4.581877184,GCLC,1
2625,positive regulation of interleukin-10 production (GO:0032733),0.257746829,1,0,0,3.379520108,4.581877184,CD274,1
2626,positive regulation of erythrocyte differentiation (GO:0045648),0.257746829,1,0,0,3.379520108,4.581877184,INHBA,1
2627,protein localization to cell surface (GO:0034394),0.257746829,1,0,0,3.379520108,4.581877184,CTNNB1,1
2628,phosphatidylglycerol metabolic process (GO:0046471),0.257746829,1,0,0,3.379520108,4.581877184,SLC27A1,1
2629,STAT cascade (GO:0097696),0.257746829,1,0,0,3.379520108,4.581877184,SOCS2,1
2630,regulation of monocyte chemotaxis (GO:0090025),0.257746829,1,0,0,3.379520108,4.581877184,PLA2G7,1
2631,glucose transport (GO:0015758),0.257746829,1,0,0,3.379520108,4.581877184,SORT1,1
2632,generation of neurons (GO:0048699),0.258553374,1,0,0,1.702658986,2.303107009,NRP1;MTPN;CTNNB1,1
2633,protein localization to plasma membrane (GO:0072659),0.258553374,1,0,0,1.702658986,2.303107009,RILPL2;MYO5A;ATP1B3,1
2634,regulation of axon extension involved in axon guidance (GO:0048841),0.267741113,1,0,0,3.232584451,4.259688901,NRP1,1
2635,positive regulation of ERBB signaling pathway (GO:1901186),0.267741113,1,0,0,3.232584451,4.259688901,RTN4,1
2636,glycolytic process (GO:0006096),0.267741113,1,0,0,3.232584451,4.259688901,HK3,1
2637,regulation of proteolysis involved in cellular protein catabolic process (GO:1903050),0.267741113,1,0,0,3.232584451,4.259688901,ATPIF1,1
2638,positive regulation of protein oligomerization (GO:0032461),0.267741113,1,0,0,3.232584451,4.259688901,RHOC,1
2639,zinc II ion transmembrane transport (GO:0071577),0.267741113,1,0,0,3.232584451,4.259688901,SLC39A1,1
2640,protein K48-linked deubiquitination (GO:0071108),0.267741113,1,0,0,3.232584451,4.259688901,MINDY1,1
2641,metanephros development (GO:0001656),0.267741113,1,0,0,3.232584451,4.259688901,BASP1,1
2642,positive regulation of ATP metabolic process (GO:1903580),0.267741113,1,0,0,3.232584451,4.259688901,IGF1,1
2643,cellular nitrogen compound biosynthetic process (GO:0044271),0.267741113,1,0,0,3.232584451,4.259688901,SPHK1,1
2644,positive regulation of blood circulation (GO:1903524),0.267741113,1,0,0,3.232584451,4.259688901,CAV1,1
2645,folic acid-containing compound metabolic process (GO:0006760),0.267741113,1,0,0,3.232584451,4.259688901,ATPIF1,1
2646,response to alkaloid (GO:0043279),0.267741113,1,0,0,3.232584451,4.259688901,HMOX1,1
2647,negative regulation of axonogenesis (GO:0050771),0.267741113,1,0,0,3.232584451,4.259688901,RTN4,1
2648,regulation of monooxygenase activity (GO:0032768),0.267741113,1,0,0,3.232584451,4.259688901,CAV1,1
2649,regulation of cell size (GO:0008361),0.267741113,1,0,0,3.232584451,4.259688901,MTPN,1
2650,NAD metabolic process (GO:0019674),0.267741113,1,0,0,3.232584451,4.259688901,BST1,1
2651,negative regulation of axon extension (GO:0030517),0.267741113,1,0,0,3.232584451,4.259688901,RTN4,1
2652,positive regulation of cytosolic calcium ion concentration (GO:0007204),0.269437151,1,0,0,1.664539755,2.182910929,P2RX4;CAV1;CD36,1
2653,regulation of defense response (GO:0031347),0.272462422,1,0,0,1.956564273,2.544031646,BST1;ANXA1,1
2654,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",0.272462422,1,0,0,1.956564273,2.544031646,CYBB;CD36,1
2655,gland development (GO:0048732),0.272462422,1,0,0,1.956564273,2.544031646,CAV1;MET,1
2656,ammonium transport (GO:0015696),0.27760132,1,0,0,3.097893432,3.970165108,SLC44A1,1
2657,regulation of protein phosphorylation (GO:0001932),0.277838482,1,0,0,1.418882488,1.817184558,BST1;GPNMB;ITGB2;FN1;INHBA,1
2658,ERAD pathway (GO:0036503),0.282438803,1,0,0,1.906395958,2.410243787,WFS1;HSP90B1,1
2659,positive regulation of cytoskeleton organization (GO:0051495),0.282438803,1,0,0,1.906395958,2.410243787,NRP1;BAIAP2,1
2660,positive regulation of histone methylation (GO:0031062),0.287329241,1,0,0,2.973977695,3.708926516,CTNNB1,1
2661,positive regulation of microtubule polymerization (GO:0031116),0.287329241,1,0,0,2.973977695,3.708926516,MET,1
2662,receptor clustering (GO:0043113),0.287329241,1,0,0,2.973977695,3.708926516,ITGB2,1
2663,negative regulation of G1/S transition of mitotic cell cycle (GO:2000134),0.287329241,1,0,0,2.973977695,3.708926516,GPNMB,1
2664,negative regulation of developmental growth (GO:0048640),0.287329241,1,0,0,2.973977695,3.708926516,RTN4,1
2665,ATP generation from ADP (GO:0006757),0.287329241,1,0,0,2.973977695,3.708926516,HK3,1
2666,receptor catabolic process (GO:0032801),0.287329241,1,0,0,2.973977695,3.708926516,CLTC,1
2667,positive regulation of microtubule polymerization or depolymerization (GO:0031112),0.287329241,1,0,0,2.973977695,3.708926516,MET,1
2668,sensory perception of pain (GO:0019233),0.287329241,1,0,0,2.973977695,3.708926516,P2RX4,1
2669,eosinophil chemotaxis (GO:0048245),0.287329241,1,0,0,2.973977695,3.708926516,LGALS3,1
2670,DNA geometric change (GO:0032392),0.287329241,1,0,0,2.973977695,3.708926516,ZRANB3,1
2671,eosinophil migration (GO:0072677),0.287329241,1,0,0,2.973977695,3.708926516,LGALS3,1
2672,mucosal immune response (GO:0002385),0.287329241,1,0,0,2.973977695,3.708926516,HIST1H2BC,1
2673,regulation of neuronal synaptic plasticity (GO:0048168),0.287329241,1,0,0,2.973977695,3.708926516,SYNGR1,1
2674,mammary gland development (GO:0030879),0.287329241,1,0,0,2.973977695,3.708926516,CAV1,1
2675,regulation of cardiac muscle cell action potential (GO:0098901),0.287329241,1,0,0,2.973977695,3.708926516,CAV1,1
2676,proteoglycan biosynthetic process (GO:0030166),0.287329241,1,0,0,2.973977695,3.708926516,IGF1,1
2677,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230),0.287329241,1,0,0,2.973977695,3.708926516,CD44,1
2678,organic cation transport (GO:0015695),0.287329241,1,0,0,2.973977695,3.708926516,SLC44A1,1
2679,sensory perception of mechanical stimulus (GO:0050954),0.287423007,1,0,0,1.882264364,2.346807695,WFS1;CACNA1D,1
2680,antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),0.287423007,1,0,0,1.882264364,2.346807695,CYBB;CD36,1
2681,visual perception (GO:0007601),0.287423007,1,0,0,1.882264364,2.346807695,WFS1;DHRS3,1
2682,response to cytokine (GO:0034097),0.287684817,1,0,0,1.604664224,1.999234762,CD274;SLC11A1;TIMP2,1
2683,neuron differentiation (GO:0030182),0.29134699,1,0,0,1.593202337,1.964801356,MTPN;CTNNB1;INHBA,1
2684,negative regulation of mitotic cell cycle phase transition (GO:1901991),0.292403451,1,0,0,1.858736059,2.285540427,RGCC;GPNMB,1
2685,activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919),0.292403451,1,0,0,1.858736059,2.285540427,DAP;S100A9,1
2686,response to calcium ion (GO:0051592),0.292403451,1,0,0,1.858736059,2.285540427,CLIC4;CAV1,1
2687,cell-cell junction assembly (GO:0007043),0.292403451,1,0,0,1.858736059,2.285540427,CD9;RHOC,1
2688,regulation of cellular component organization (GO:0051128),0.295012476,1,0,0,1.581903029,1.931088558,SOCS2;ABCA1;SGK1,1
2689,glycolytic process through glucose-6-phosphate (GO:0061620),0.296926644,1,0,0,2.859593938,3.472319587,HK3,1
2690,signal peptide processing (GO:0006465),0.296926644,1,0,0,2.859593938,3.472319587,F7,1
2691,regulation of centrosome duplication (GO:0010824),0.296926644,1,0,0,2.859593938,3.472319587,PLK2,1
2692,canonical glycolysis (GO:0061621),0.296926644,1,0,0,2.859593938,3.472319587,HK3,1
2693,glucose catabolic process to pyruvate (GO:0061718),0.296926644,1,0,0,2.859593938,3.472319587,HK3,1
2694,glial cell differentiation (GO:0010001),0.296926644,1,0,0,2.859593938,3.472319587,GPC1,1
2695,"negative regulation of gene expression, epigenetic (GO:0045814)",0.296926644,1,0,0,2.859593938,3.472319587,DNMT3A,1
2696,neutral amino acid transport (GO:0015804),0.296926644,1,0,0,2.859593938,3.472319587,SLC36A2,1
2697,regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314),0.296926644,1,0,0,2.859593938,3.472319587,FKBP1A,1
2698,chondroitin sulfate proteoglycan biosynthetic process (GO:0050650),0.296926644,1,0,0,2.859593938,3.472319587,CHST11,1
2699,regulation of interleukin-10 production (GO:0032653),0.296926644,1,0,0,2.859593938,3.472319587,CD274,1
2700,positive regulation of filopodium assembly (GO:0051491),0.296926644,1,0,0,2.859593938,3.472319587,NRP1,1
2701,positive regulation of glucose transport (GO:0010828),0.296926644,1,0,0,2.859593938,3.472319587,IGF1,1
2702,long-chain fatty-acyl-CoA metabolic process (GO:0035336),0.296926644,1,0,0,2.859593938,3.472319587,ACSL4,1
2703,respiratory tube development (GO:0030323),0.296926644,1,0,0,2.859593938,3.472319587,PDPN,1
2704,peptidyl-tyrosine dephosphorylation (GO:0035335),0.296926644,1,0,0,2.859593938,3.472319587,DUSP3,1
2705,regulation of vascular smooth muscle cell proliferation (GO:1904705),0.296926644,1,0,0,2.859593938,3.472319587,IGF1,1
2706,regulation of cellular protein localization (GO:1903827),0.296926644,1,0,0,2.859593938,3.472319587,CTNNB1,1
2707,L-amino acid transport (GO:0015807),0.296926644,1,0,0,2.859593938,3.472319587,SLC36A2,1
2708,positive regulation of peptidyl-threonine phosphorylation (GO:0010800),0.296926644,1,0,0,2.859593938,3.472319587,SPHK1,1
2709,regulation of hydrolase activity (GO:0051336),0.297379338,1,0,0,1.835788701,2.226346733,CAV1;ATPIF1,1
2710,negative regulation of MAPK cascade (GO:0043409),0.297379338,1,0,0,1.835788701,2.226346733,DUSP3;CAV1,1
2711,positive regulation of protein targeting to mitochondrion (GO:1903955),0.302349891,1,0,0,1.813401034,2.169136554,CTSK;ITGAX,1
2712,epidermis development (GO:0008544),0.302349891,1,0,0,1.813401034,2.169136554,FABP5;EMP1,1
2713,sensory perception of light stimulus (GO:0050953),0.302349891,1,0,0,1.813401034,2.169136554,WFS1;DHRS3,1
2714,sensory perception of sound (GO:0007605),0.302349891,1,0,0,1.813401034,2.169136554,WFS1;CACNA1D,1
2715,positive regulation of macromolecule biosynthetic process (GO:0010557),0.302351889,1,0,0,1.559778511,1.865750507,MTPN;RGCC;IGF1,1
2716,Golgi vesicle transport (GO:0048193),0.303837416,1,0,0,1.366717691,1.628119581,F7;DYNC1I2;CTSZ;MYO5A;RAB7B,1
