Term|Overlap|P.value|Adjusted.P.value|Old.P.value|Old.Adjusted.P.value|Odds.Ratio|Combined.Score|Genes|cluster
344|negative regulation of bone mineralization (GO:0030502)|1/11|0.0557490891026063|0.826998842123836|0|0|17.4825174825175|50.4701784570296|ECM1|0
345|regulation of vascular endothelial growth factor signaling pathway (GO:1900746)|1/11|0.0557490891026063|0.824601744030724|0|0|17.4825174825175|50.4701784570296|CD63|0
346|cellular response to increased oxygen levels (GO:0036295)|1/11|0.0557490891026063|0.822218501995953|0|0|17.4825174825175|50.4701784570296|CAV1|0
347|modulation by host of viral process (GO:0044788)|1/11|0.0557490891026063|0.819848996226512|0|0|17.4825174825175|50.4701784570296|APOE|0
348|urea cycle (GO:0000050)|1/11|0.0557490891026063|0.817493108306321|0|0|17.4825174825175|50.4701784570296|ARG1|0
349|cyclooxygenase pathway (GO:0019371)|1/11|0.0557490891026063|0.815150721176503|0|0|17.4825174825175|50.4701784570296|PTGS1|0
350|regulation of ventricular cardiac muscle cell action potential (GO:0098911)|1/11|0.0557490891026063|0.812821719115999|0|0|17.4825174825175|50.4701784570296|CAV1|0
351|positive regulation of sodium ion transmembrane transporter activity (GO:2000651)|1/11|0.0557490891026063|0.810505987722506|0|0|17.4825174825175|50.4701784570296|GLRX|0
352|regulation of integrin-mediated signaling pathway (GO:2001044)|1/11|0.0557490891026063|0.808203413893749|0|0|17.4825174825175|50.4701784570296|CD63|0
353|negative regulation of peptide secretion (GO:0002792)|1/11|0.0557490891026063|0.805913885809064|0|0|17.4825174825175|50.4701784570296|CD74|0
354|negative regulation of amyloid precursor protein catabolic process (GO:1902992)|1/11|0.0557490891026063|0.803637292911299|0|0|17.4825174825175|50.4701784570296|APOE|0
355|regulation of short-term neuronal synaptic plasticity (GO:0048172)|1/11|0.0557490891026063|0.801373525889013|0|0|17.4825174825175|50.4701784570296|SYNGR1|0
356|regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)|1/11|0.0557490891026063|0.799122476658988|0|0|17.4825174825175|50.4701784570296|CAV1|0
357|positive regulation of glycoprotein biosynthetic process (GO:0010560)|1/11|0.0557490891026063|0.796884038349019|0|0|17.4825174825175|50.4701784570296|IGF1|0
358|regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)|1/11|0.0557490891026063|0.794658105281005|0|0|17.4825174825175|50.4701784570296|HMOX1|0
359|alcohol catabolic process (GO:0046164)|1/11|0.0557490891026063|0.792444572954317|0|0|17.4825174825175|50.4701784570296|APOE|0
360|negative regulation of receptor binding (GO:1900121)|1/11|0.0557490891026063|0.790243338029444|0|0|17.4825174825175|50.4701784570296|B2M|0
361|positive regulation of epithelial cell migration (GO:0010634)|2/75|0.0581640366818659|0.822191355090199|0|0|5.12820512820513|14.587118162402|ANXA3;CTSH|0
362|positive regulation of defense response (GO:0031349)|2/75|0.0581640366818659|0.819920108252933|0|0|5.12820512820513|14.587118162402|LPL;CYBA|0
363|antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)|2/76|0.059538877067809|0.836988676796224|0|0|5.06072874493927|14.2769523466762|CYBA;B2M|0
364|regulation of retrograde protein transport, ER to cytosol (GO:1904152)|1/12|0.0606618849615518|0.850432964172524|0|0|16.025641025641|44.9108926762009|BCAP31|0
365|negative regulation of ATPase activity (GO:0032780)|1/12|0.0606618849615518|0.848103010846024|0|0|16.025641025641|44.9108926762009|ATPIF1|0
366|positive regulation of peptidase activity (GO:0010952)|1/12|0.0606618849615518|0.845785789504915|0|0|16.025641025641|44.9108926762009|CTSH|0
367|regulation of protein import into nucleus, translocation (GO:0033158)|1/12|0.0606618849615518|0.843481196073021|0|0|16.025641025641|44.9108926762009|IGF1|0
368|regulation of sequestering of triglyceride (GO:0010889)|1/12|0.0606618849615518|0.841189127605431|0|0|16.025641025641|44.9108926762009|LPL|0
369|negative regulation of epithelial cell differentiation (GO:0030857)|1/12|0.0606618849615518|0.838909482273167|0|0|16.025641025641|44.9108926762009|CAV1|0
370|regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)|1/12|0.0606618849615518|0.836642159348105|0|0|16.025641025641|44.9108926762009|CD74|0
371|regulation of long-term neuronal synaptic plasticity (GO:0048169)|1/12|0.0606618849615518|0.834387059188137|0|0|16.025641025641|44.9108926762009|SYNGR1|0
372|phospholipid efflux (GO:0033700)|1/12|0.0606618849615518|0.832144083222577|0|0|16.025641025641|44.9108926762009|APOE|0
373|negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)|1/12|0.0606618849615518|0.829913133937798|0|0|16.025641025641|44.9108926762009|CD74|0
374|positive regulation of keratinocyte differentiation (GO:0045618)|1/12|0.0606618849615518|0.827694114863098|0|0|16.025641025641|44.9108926762009|NME2|0
375|polyamine metabolic process (GO:0006595)|1/12|0.0606618849615518|0.825486930556797|0|0|16.025641025641|44.9108926762009|SAT1|0
376|regulation of cell communication by electrical coupling (GO:0010649)|1/12|0.0606618849615518|0.82329148659255|0|0|16.025641025641|44.9108926762009|CAV1|0
377|keratan sulfate catabolic process (GO:0042340)|1/12|0.0606618849615518|0.821107689545885|0|0|16.025641025641|44.9108926762009|HEXB|0
378|positive regulation of T cell cytokine production (GO:0002726)|1/12|0.0606618849615518|0.818935446980949|0|0|16.025641025641|44.9108926762009|B2M|0
379|negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)|2/77|0.060924916430042|0.820316223067293|0|0|4.995004995005|13.976588667121|HMOX1;IGF1|0
380|antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)|2/79|0.0637299891037906|0.855826669464851|0|0|4.86854917234664|13.4036029241992|CYBA;B2M|0
381|positive regulation of protein phosphorylation (GO:0001934)|5/413|0.0644493091792514|0.863214763101628|0|0|2.32818029428199|6.38358229736139|CD74;GPNMB;CAV1;TREM2;IGF1|0
382|positive regulation of MAPK cascade (GO:0043410)|4/290|0.0647761233935687|0.86532083161618|0|0|2.6525198938992|7.25946474714289|CD74;GPNMB;TREM2;IGF1|0
383|negative regulation of reactive oxygen species biosynthetic process (GO:1903427)|1/13|0.0655493652791093|0.873363997439412|0|0|14.792899408284|40.3099371571447|CAV1|0
384|response to iron ion (GO:0010039)|1/13|0.0655493652791093|0.871089612029413|0|0|14.792899408284|40.3099371571447|B2M|0
385|protein localization to endoplasmic reticulum (GO:0070972)|1/13|0.0655493652791093|0.868827041608558|0|0|14.792899408284|40.3099371571447|BCAP31|0
386|cellular response to low-density lipoprotein particle stimulus (GO:0071404)|1/13|0.0655493652791093|0.866576194350504|0|0|14.792899408284|40.3099371571447|LPL|0
387|negative regulation of hemostasis (GO:1900047)|1/13|0.0655493652791093|0.864336979378022|0|0|14.792899408284|40.3099371571447|APOE|0
388|cellular response to exogenous dsRNA (GO:0071360)|1/13|0.0655493652791093|0.862109306750759|0|0|14.792899408284|40.3099371571447|CAV1|0
389|renal absorption (GO:0070293)|1/13|0.0655493652791093|0.8598930874532|0|0|14.792899408284|40.3099371571447|GSN|0
390|steroid catabolic process (GO:0006706)|1/13|0.0655493652791093|0.857688233382807|0|0|14.792899408284|40.3099371571447|SPP1|0
391|regulation of T cell cytokine production (GO:0002724)|1/13|0.0655493652791093|0.855494657338349|0|0|14.792899408284|40.3099371571447|B2M|0
392|chondroitin sulfate catabolic process (GO:0030207)|1/13|0.0655493652791093|0.853312273008405|0|0|14.792899408284|40.3099371571447|HEXB|0
393|positive regulation of glycogen biosynthetic process (GO:0045725)|1/13|0.0655493652791093|0.851140994960037|0|0|14.792899408284|40.3099371571447|IGF1|0
394|positive regulation of cholesterol efflux (GO:0010875)|1/13|0.0655493652791093|0.848980738627651|0|0|14.792899408284|40.3099371571447|APOE|0
395|positive regulation of actin nucleation (GO:0051127)|1/13|0.0655493652791093|0.846831420302012|0|0|14.792899408284|40.3099371571447|GSN|0
396|regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645)|1/13|0.0655493652791093|0.844692957119431|0|0|14.792899408284|40.3099371571447|CD84|0
397|regulation of macrophage differentiation (GO:0045649)|1/13|0.0655493652791093|0.84256526705112|0|0|14.792899408284|40.3099371571447|C1QC|0
398|regulation of leukocyte migration (GO:0002685)|1/13|0.0655493652791093|0.8404482688927|0|0|14.792899408284|40.3099371571447|HMOX1|0
399|response to UV-B (GO:0010224)|1/13|0.0655493652791093|0.838341882253871|0|0|14.792899408284|40.3099371571447|CRIP1|0
400|high-density lipoprotein particle assembly (GO:0034380)|1/13|0.0655493652791093|0.836246027548237|0|0|14.792899408284|40.3099371571447|APOE|0
401|amyloid precursor protein metabolic process (GO:0042982)|1/13|0.0655493652791093|0.834160625983278|0|0|14.792899408284|40.3099371571447|APOE|0
402|tetrahydrofolate metabolic process (GO:0046653)|1/13|0.0655493652791093|0.832085599550484|0|0|14.792899408284|40.3099371571447|ATPIF1|0
403|leukocyte differentiation (GO:0002521)|1/13|0.0655493652791093|0.830020871015619|0|0|14.792899408284|40.3099371571447|TREM2|0
404|regulation of hydrolase activity (GO:0051336)|2/81|0.0665780610565628|0.840960013791188|0|0|4.74833808167141|12.8650530354676|CAV1;ATPIF1|0
405|negative regulation of MAPK cascade (GO:0043409)|2/81|0.0665780610565628|0.838883569312691|0|0|4.74833808167141|12.8650530354676|CAV1;APOE|0
406|protein catabolic process (GO:0030163)|2/82|0.0680178541248241|0.854914063051669|0|0|4.69043151969981|12.6078097917911|APOE;CTSD|0
407|negative regulation of cell death (GO:0060548)|2/82|0.0680178541248241|0.852813537098225|0|0|4.69043151969981|12.6078097917911|GPNMB;APOE|0
408|regulation of anatomical structure morphogenesis (GO:0022603)|2/83|0.0694679582579952|0.868860272035661|0|0|4.6339202965709|12.358154147259|GPNMB;HMOX1|0
409|regulation of fatty acid metabolic process (GO:0019217)|1/14|0.0704116591696319|0.87851026098443|0|0|13.7362637362637|36.447752971504|CAV1|0
410|epiboly involved in wound healing (GO:0090505)|1/14|0.0704116591696319|0.876367553030809|0|0|13.7362637362637|36.447752971504|PDPN|0
411|regulation of lipase activity (GO:0060191)|1/14|0.0704116591696319|0.874235271879883|0|0|13.7362637362637|36.447752971504|LPL|0
412|positive regulation of vascular smooth muscle cell proliferation (GO:1904707)|1/14|0.0704116591696319|0.87211334160833|0|0|13.7362637362637|36.447752971504|IGF1|0
413|fatty acid transport (GO:0015908)|1/14|0.0704116591696319|0.870001687028164|0|0|13.7362637362637|36.447752971504|APOE|0
414|myotube cell development (GO:0014904)|1/14|0.0704116591696319|0.867900233677855|0|0|13.7362637362637|36.447752971504|IGF1|0
415|regulation of platelet aggregation (GO:0090330)|1/14|0.0704116591696319|0.865808907813571|0|0|13.7362637362637|36.447752971504|PDPN|0
416|positive regulation of response to cytokine stimulus (GO:0060760)|1/14|0.0704116591696319|0.863727636400557|0|0|13.7362637362637|36.447752971504|CD74|0
417|regulation of extracellular matrix disassembly (GO:0010715)|1/14|0.0704116591696319|0.861656347104633|0|0|13.7362637362637|36.447752971504|PDPN|0
418|regulation of calcineurin-NFAT signaling cascade (GO:0070884)|1/14|0.0704116591696319|0.859594968283808|0|0|13.7362637362637|36.447752971504|IGF1|0
419|regulation of monocyte differentiation (GO:0045655)|1/14|0.0704116591696319|0.857543428980028|0|0|13.7362637362637|36.447752971504|CD74|0
420|nucleoside triphosphate metabolic process (GO:0009141)|1/14|0.0704116591696319|0.855501658911028|0|0|13.7362637362637|36.447752971504|NME2|0
421|negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)|1/14|0.0704116591696319|0.853469588462308|0|0|13.7362637362637|36.447752971504|CD74|0
422|positive regulation of muscle hypertrophy (GO:0014742)|1/14|0.0704116591696319|0.851447148679222|0|0|13.7362637362637|36.447752971504|IGF1|0
423|negative regulation of secretion (GO:0051048)|1/14|0.0704116591696319|0.849434271259177|0|0|13.7362637362637|36.447752971504|CD74|0
424|negative regulation of biomineral tissue development (GO:0070168)|1/14|0.0704116591696319|0.847430888543943|0|0|13.7362637362637|36.447752971504|ECM1|0
425|negative regulation of cation transmembrane transport (GO:1904063)|1/14|0.0704116591696319|0.845436933512075|0|0|13.7362637362637|36.447752971504|CAV1|0
426|positive regulation of glycogen metabolic process (GO:0070875)|1/14|0.0704116591696319|0.843452339771436|0|0|13.7362637362637|36.447752971504|IGF1|0
427|positive regulation of blood vessel diameter (GO:0097755)|1/14|0.0704116591696319|0.841477041551831|0|0|13.7362637362637|36.447752971504|HMOX1|0
428|positive regulation of homeostatic process (GO:0032846)|2/84|0.0709282297124001|0.845669991173779|0|0|4.57875457875458|12.1157818787293|CAV1;SPP1|0
429|myotube differentiation (GO:0014902)|1/15|0.0752488951179903|0.895093500669241|0|0|12.8205128205128|33.1660776702353|IGF1|0
430|regulation of mast cell degranulation (GO:0043304)|1/15|0.0752488951179903|0.893011887876987|0|0|12.8205128205128|33.1660776702353|CD84|0
431|vitamin D metabolic process (GO:0042359)|1/15|0.0752488951179903|0.890939934540846|0|0|12.8205128205128|33.1660776702353|LGMN|0
432|positive regulation of membrane protein ectodomain proteolysis (GO:0051044)|1/15|0.0752488951179903|0.88887757358126|0|0|12.8205128205128|33.1660776702353|APOE|0
433|regulation of protein homooligomerization (GO:0032462)|1/15|0.0752488951179903|0.886824738538347|0|0|12.8205128205128|33.1660776702353|APOE|0
434|negative regulation of signal transduction by p53 class mediator (GO:1901797)|1/15|0.0752488951179903|0.884781363564757|0|0|12.8205128205128|33.1660776702353|CD74|0
435|positive regulation of vasoconstriction (GO:0045907)|1/15|0.0752488951179903|0.882747383418631|0|0|12.8205128205128|33.1660776702353|CAV1|0
436|positive regulation of cellular response to insulin stimulus (GO:1900078)|1/15|0.0752488951179903|0.880722733456662|0|0|12.8205128205128|33.1660776702353|IGF1|0
437|positive regulation of glycolytic process (GO:0045821)|1/15|0.0752488951179903|0.878707349627241|0|0|12.8205128205128|33.1660776702353|IGF1|0
438|negative regulation of platelet activation (GO:0010544)|1/15|0.0752488951179903|0.876701168463709|0|0|12.8205128205128|33.1660776702353|APOE|0
439|positive regulation of small GTPase mediated signal transduction (GO:0051057)|1/15|0.0752488951179903|0.874704127077687|0|0|12.8205128205128|33.1660776702353|IGF1|0
440|positive regulation of coenzyme metabolic process (GO:0051197)|1/15|0.0752488951179903|0.87271616315251|0|0|12.8205128205128|33.1660776702353|IGF1|0
441|positive regulation of cytokine production involved in immune response (GO:0002720)|1/15|0.0752488951179903|0.870737214936745|0|0|12.8205128205128|33.1660776702353|B2M|0
442|regulation of establishment of cell polarity (GO:2000114)|1/15|0.0752488951179903|0.868767221237793|0|0|12.8205128205128|33.1660776702353|GSN|0
443|negative regulation of coagulation (GO:0050819)|1/15|0.0752488951179903|0.866806121415586|0|0|12.8205128205128|33.1660776702353|APOE|0
444|positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269)|1/15|0.0752488951179903|0.864853855376361|0|0|12.8205128205128|33.1660776702353|GSN|0
445|regulation of peptide secretion (GO:0002791)|1/15|0.0752488951179903|0.862910363566527|0|0|12.8205128205128|33.1660776702353|CD74|0
446|negative regulation of anoikis (GO:2000811)|1/15|0.0752488951179903|0.860975586966602|0|0|12.8205128205128|33.1660776702353|CAV1|0
447|nitric oxide mediated signal transduction (GO:0007263)|1/15|0.0752488951179903|0.859049467085245|0|0|12.8205128205128|33.1660776702353|APOE|0
448|negative regulation of release of cytochrome c from mitochondria (GO:0090201)|1/15|0.0752488951179903|0.857131945953358|0|0|12.8205128205128|33.1660776702353|IGF1|0
449|cellular biogenic amine biosynthetic process (GO:0042401)|1/15|0.0752488951179903|0.855222966118273|0|0|12.8205128205128|33.1660776702353|SAT1|0
450|organic substance transport (GO:0071702)|2/88|0.07686815547514|0.871684883088088|0|0|4.37062937062937|11.2135646472421|CAV1;PSAP|0
451|regulation of protein targeting to mitochondrion (GO:1903214)|2/89|0.0783771488070497|0.886826142710365|0|0|4.32152117545376|11.0035560216467|CTSK;ATPIF1|0
452|negative regulation of cellular protein metabolic process (GO:0032269)|2/90|0.079895471726147|0.902005734996744|0|0|4.27350427350427|10.7992995815468|CSTB;APOE|0
453|regulation of neuron apoptotic process (GO:0043523)|2/90|0.079895471726147|0.900014552358782|0|0|4.27350427350427|10.7992995815468|APOE;LGMN|0
454|positive regulation of epithelial cell apoptotic process (GO:1904037)|1/16|0.0800612009686615|0.899894952738061|0|0|12.0192307692308|30.3481240946225|GSN|0
455|regulation of actin nucleation (GO:0051125)|1/16|0.0800612009686615|0.897917161633142|0|0|12.0192307692308|30.3481240946225|GSN|0
456|postsynaptic membrane organization (GO:0001941)|1/16|0.0800612009686615|0.895948045050614|0|0|12.0192307692308|30.3481240946225|APOE|0
457|regulation of steroid metabolic process (GO:0019218)|1/16|0.0800612009686615|0.893987546046126|0|0|12.0192307692308|30.3481240946225|APOE|0
458|C21-steroid hormone biosynthetic process (GO:0006700)|1/16|0.0800612009686615|0.892035608172663|0|0|12.0192307692308|30.3481240946225|TSPO|0
459|positive regulation of secretion (GO:0051047)|1/16|0.0800612009686615|0.890092175475119|0|0|12.0192307692308|30.3481240946225|SPP1|0
460|positive regulation of cardiac muscle tissue growth (GO:0055023)|1/16|0.0800612009686615|0.888157192484956|0|0|12.0192307692308|30.3481240946225|IGF1|0
461|cellular response to dsRNA (GO:0071359)|1/16|0.0800612009686615|0.886230604214924|0|0|12.0192307692308|30.3481240946225|CAV1|0
462|positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)|1/16|0.0800612009686615|0.884312356153852|0|0|12.0192307692308|30.3481240946225|HMOX1|0
463|phosphatidylinositol acyl-chain remodeling (GO:0036149)|1/16|0.0800612009686615|0.882402394261511|0|0|12.0192307692308|30.3481240946225|PLA2G16|0
464|hyaluronan catabolic process (GO:0030214)|1/16|0.0800612009686615|0.880500664963534|0|0|12.0192307692308|30.3481240946225|HEXB|0
465|regulation of reactive oxygen species biosynthetic process (GO:1903426)|1/16|0.0800612009686615|0.878607115146408|0|0|12.0192307692308|30.3481240946225|CYBA|0
466|negative regulation of steroid biosynthetic process (GO:0010894)|1/16|0.0800612009686615|0.876721692152532|0|0|12.0192307692308|30.3481240946225|APOE|0
467|positive regulation of cardiac muscle hypertrophy (GO:0010613)|1/16|0.0800612009686615|0.874844343775331|0|0|12.0192307692308|30.3481240946225|IGF1|0
468|regulation of membrane repolarization (GO:0060306)|1/16|0.0800612009686615|0.872975018254444|0|0|12.0192307692308|30.3481240946225|CAV1|0
469|glutamine family amino acid catabolic process (GO:0009065)|1/16|0.0800612009686615|0.871113664270959|0|0|12.0192307692308|30.3481240946225|ARG1|0
470|myoblast differentiation (GO:0045445)|1/16|0.0800612009686615|0.869260230942723|0|0|12.0192307692308|30.3481240946225|IGF1|0
471|positive regulation of response to external stimulus (GO:0032103)|2/91|0.0814229886430396|0.882168813259938|0|0|4.22654268808115|10.6005816994223|LPL;CYBA|0
472|protein tetramerization (GO:0051262)|2/91|0.0814229886430396|0.88029981153693|0|0|4.22654268808115|10.6005816994223|CD74;ATPIF1|0
473|regulation of cell migration (GO:0030334)|4/317|0.0835584663328173|0.901477491958492|0|0|2.4265954865324|6.02331641966828|GPNMB;PDPN;CTSH;IGF1|0
474|positive regulation of cellular metabolic process (GO:0031325)|2/93|0.0845050678078527|0.909766584437706|0|0|4.13564929693962|10.2189568749378|CD63;APOE|0
475|positive regulation of protein processing (GO:0010954)|1/17|0.0848487039018828|0.911543023181701|0|0|11.3122171945701|27.9059452781436|GSN|0
476|high-density lipoprotein particle remodeling (GO:0034375)|1/17|0.0848487039018828|0.909628016830479|0|0|11.3122171945701|27.9059452781436|APOE|0
477|positive regulation of cholesterol transport (GO:0032376)|1/17|0.0848487039018828|0.907721039855991|0|0|11.3122171945701|27.9059452781436|APOE|0
478|regulation of tissue remodeling (GO:0034103)|1/17|0.0848487039018828|0.905822041864661|0|0|11.3122171945701|27.9059452781436|GPNMB|0
479|reverse cholesterol transport (GO:0043691)|1/17|0.0848487039018828|0.903930972883733|0|0|11.3122171945701|27.9059452781436|APOE|0
480|regulation of protein localization to membrane (GO:1905475)|1/17|0.0848487039018828|0.902047783356892|0|0|11.3122171945701|27.9059452781436|GSN|0
481|response to interferon-alpha (GO:0035455)|1/17|0.0848487039018828|0.900172424139933|0|0|11.3122171945701|27.9059452781436|IFITM2|0
482|regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)|1/17|0.0848487039018828|0.898304846496489|0|0|11.3122171945701|27.9059452781436|IGF1|0
483|positive regulation of epidermal cell differentiation (GO:0045606)|1/17|0.0848487039018828|0.896445002093805|0|0|11.3122171945701|27.9059452781436|NME2|0
484|long-term memory (GO:0007616)|1/17|0.0848487039018828|0.89459284299857|0|0|11.3122171945701|27.9059452781436|APOE|0
485|virion assembly (GO:0019068)|1/17|0.0848487039018828|0.8927483216728|0|0|11.3122171945701|27.9059452781436|APOE|0
486|positive regulation of response to biotic stimulus (GO:0002833)|1/17|0.0848487039018828|0.890911390969769|0|0|11.3122171945701|27.9059452781436|CYBA|0
487|regulation of lamellipodium organization (GO:1902743)|1/17|0.0848487039018828|0.889082004129996|0|0|11.3122171945701|27.9059452781436|PDPN|0
488|positive chemotaxis (GO:0050918)|1/17|0.0848487039018828|0.88726011477727|0|0|11.3122171945701|27.9059452781436|GPNMB|0
489|positive regulation of cation transmembrane transport (GO:1904064)|1/17|0.0848487039018828|0.88544567691474|0|0|11.3122171945701|27.9059452781436|CTSS|0
490|negative regulation of intracellular transport (GO:0032387)|1/17|0.0848487039018828|0.883638644921037|0|0|11.3122171945701|27.9059452781436|CD84|0
491|cellular transition metal ion homeostasis (GO:0046916)|2/94|0.0860593645280113|0.89442146066485|0|0|4.09165302782324|10.0356707678251|FTH1;HMOX1|0
492|positive regulation of ERK1 and ERK2 cascade (GO:0070374)|3/202|0.0883849451287423|0.916724339414577|0|0|2.85605483625286|6.92894219673099|CD74;GPNMB;TREM2|0
493|positive regulation of multicellular organismal process (GO:0051240)|3/203|0.0893871086781505|0.925238165486008|0|0|2.84198560060629|6.86276659368476|PDPN;NME2;CTSH|0
494|regulation of multicellular organism growth (GO:0040014)|1/18|0.0896115305088418|0.925683482159149|0|0|10.6837606837607|25.7721290445105|IGF1|0
495|regulation of cholesterol efflux (GO:0010874)|1/18|0.0896115305088418|0.923813414518423|0|0|10.6837606837607|25.7721290445105|APOE|0
496|regulation of amyloid-beta formation (GO:1902003)|1/18|0.0896115305088418|0.921950887473023|0|0|10.6837606837607|25.7721290445105|APOE|0
497|negative regulation of peptidyl-serine phosphorylation (GO:0033137)|1/18|0.0896115305088418|0.920095855506277|0|0|10.6837606837607|25.7721290445105|CAV1|0
498|response to nutrient levels (GO:0031667)|1/18|0.0896115305088418|0.918248273467108|0|0|10.6837606837607|25.7721290445105|IGF1|0
499|actin filament polymerization (GO:0030041)|1/18|0.0896115305088418|0.916408096566372|0|0|10.6837606837607|25.7721290445105|GSN|0
500|negative regulation of osteoclast differentiation (GO:0045671)|1/18|0.0896115305088418|0.914575280373239|0|0|10.6837606837607|25.7721290445105|MAFB|0
501|calcium-mediated signaling using intracellular calcium source (GO:0035584)|1/18|0.0896115305088418|0.912749780811616|0|0|10.6837606837607|25.7721290445105|BCAP31|0
502|endoplasmic reticulum calcium ion homeostasis (GO:0032469)|1/18|0.0896115305088418|0.910931554156613|0|0|10.6837606837607|25.7721290445105|BCAP31|0
503|positive regulation of cyclic nucleotide biosynthetic process (GO:0030804)|1/18|0.0896115305088418|0.909120557031053|0|0|10.6837606837607|25.7721290445105|APOE|0
504|negative regulation of fibroblast proliferation (GO:0048147)|1/18|0.0896115305088418|0.907316746402023|0|0|10.6837606837607|25.7721290445105|FTH1|0
505|regulation of epithelial cell differentiation (GO:0030856)|1/18|0.0896115305088418|0.905520079577465|0|0|10.6837606837607|25.7721290445105|CAV1|0
506|positive regulation of carbohydrate metabolic process (GO:0045913)|1/18|0.0896115305088418|0.903730514202806|0|0|10.6837606837607|25.7721290445105|IGF1|0
507|regulation of smooth muscle cell migration (GO:0014910)|1/18|0.0896115305088418|0.901948008257632|0|0|10.6837606837607|25.7721290445105|IGF1|0
508|anion homeostasis (GO:0055081)|1/18|0.0896115305088418|0.900172520052401|0|0|10.6837606837607|25.7721290445105|APOE|0
509|regulation of autophagy (GO:0010506)|3/204|0.090394080321556|0.906249492889784|0|0|2.82805429864253|6.79744484416502|CTSK;PSAP;LAMTOR4|0
510|primary alcohol metabolic process (GO:0034308)|1/19|0.0943498067238512|0.944053066101593|0|0|10.1214574898785|23.8941908468777|IGF1|0
511|negative regulation of lymphocyte activation (GO:0051250)|1/19|0.0943498067238512|0.942205604132705|0|0|10.1214574898785|23.8941908468777|GPNMB|0
512|regulation of sprouting angiogenesis (GO:1903670)|1/19|0.0943498067238512|0.940365358812134|0|0|10.1214574898785|23.8941908468777|S100A1|0
513|regulation of platelet activation (GO:0010543)|1/19|0.0943498067238512|0.938532287937256|0|0|10.1214574898785|23.8941908468777|APOE|0
514|regulation of long-term synaptic potentiation (GO:1900271)|1/19|0.0943498067238512|0.936706349633876|0|0|10.1214574898785|23.8941908468777|APOE|0
515|positive regulation of activated T cell proliferation (GO:0042104)|1/19|0.0943498067238512|0.934887502353034|0|0|10.1214574898785|23.8941908468777|IGF1|0
516|acylglycerol biosynthetic process (GO:0046463)|1/19|0.0943498067238512|0.933075704867854|0|0|10.1214574898785|23.8941908468777|LPL|0
517|protein heterotetramerization (GO:0051290)|1/19|0.0943498067238512|0.93127091627043|0|0|10.1214574898785|23.8941908468777|CD74|0
518|mitochondrial calcium ion homeostasis (GO:0051560)|1/19|0.0943498067238512|0.92947309596875|0|0|10.1214574898785|23.8941908468777|BCAP31|0
519|positive regulation of transcription regulatory region DNA binding (GO:2000679)|1/19|0.0943498067238512|0.927682203683646|0|0|10.1214574898785|23.8941908468777|IGF1|0
520|triglyceride biosynthetic process (GO:0019432)|1/19|0.0943498067238512|0.925898199445793|0|0|10.1214574898785|23.8941908468777|LPL|0
521|response to interferon-beta (GO:0035456)|1/19|0.0943498067238512|0.92412104359273|0|0|10.1214574898785|23.8941908468777|IFITM2|0
522|positive regulation of phosphorylation (GO:0042327)|3/209|0.0955001272015326|0.933596071090844|0|0|2.7603974972396|6.48314602376643|CD74;GPNMB;IGF1|0
523|steroid metabolic process (GO:0008202)|2/100|0.0955625544444408|0.932420105793464|0|0|3.84615384615385|9.03067009833469|TSPO;LGMN|0
524|glycosaminoglycan biosynthetic process (GO:0006024)|2/100|0.0955625544444408|0.930640678110652|0|0|3.84615384615385|9.03067009833469|B4GALT1;SDC3|0
525|regulation of lipid metabolic process (GO:0019216)|2/101|0.0971747997119183|0.944539053199846|0|0|3.80807311500381|8.87754708055243|CAV1;PSAP|0
526|proteoglycan metabolic process (GO:0006029)|1/20|0.0990636578243203|0.961068148056096|0|0|9.61538461538462|22.2306983380996|IGF1|0
527|positive regulation of dendritic spine development (GO:0060999)|1/20|0.0990636578243203|0.959244489331131|0|0|9.61538461538462|22.2306983380996|APOE|0
528|wound healing, spreading of cells (GO:0044319)|1/20|0.0990636578243203|0.957427738404368|0|0|9.61538461538462|22.2306983380996|PDPN|0
529|regulation of lipoprotein lipase activity (GO:0051004)|1/20|0.0990636578243203|0.955617856101146|0|0|9.61538461538462|22.2306983380996|LPL|0
530|inactivation of MAPK activity (GO:0000188)|1/20|0.0990636578243203|0.953814803542465|0|0|9.61538461538462|22.2306983380996|CAV1|0
531|response to progesterone (GO:0032570)|1/20|0.0990636578243203|0.952018542142196|0|0|9.61538461538462|22.2306983380996|CAV1|0
532|androgen metabolic process (GO:0008209)|1/20|0.0990636578243203|0.950229033604335|0|0|9.61538461538462|22.2306983380996|SPP1|0
